cohort,time,event_time,att,se,n_treated,n_control,n_obs,treatment
69,105,36,0.5704148349972402,0.09268917007916704,2,785,1006,Online
70,70,0,0.8081196708675122,0.04319147061476164,8,927,1495,Online
70,76,6,1.6546482629879917,0.08790648071995787,8,790,1281,Online
70,82,12,1.5809455033860087,0.07544873433014039,8,789,1281,Online
70,88,18,1.2977315040517716,0.0794370088999017,8,785,1241,Online
70,94,24,1.630157732422836,0.12324813159002149,8,785,1131,Online
70,100,30,1.5347840649973359,0.06635850875838396,8,785,1057,Online
70,106,36,1.4507679728076488,0.06352815748087329,8,785,1051,Online
73,73,0,0.37925138144932713,0.0194789266570319,62,865,1470,Online
73,79,6,0.7716298832573478,0.042012223599501915,62,790,1409,Online
73,85,12,0.7367558695534828,0.046536672965418094,62,785,1353,Online
73,91,18,0.7951740408749093,0.11277576648716368,62,785,1261,Online
73,97,24,0.9404599342816057,0.12021549316860772,62,785,1212,Online
73,103,30,0.74470464090045,0.054126703009154585,62,785,1177,Online
73,109,36,0.7411239242603578,0.048006560386092106,62,785,1155,Online
75,75,0,-0.027699571243159807,0.03946668159467309,75,790,1350,Online
75,81,6,0.04319172480486054,0.03561920503021732,75,789,1355,Online
75,87,12,-0.15040829086828675,0.0414640227801095,75,785,1304,Online
75,93,18,0.14236529533188963,0.11649013879514043,75,785,1190,Online
75,99,24,-0.06247186007620899,0.03412090863044539,75,785,1110,Online
75,105,30,0.026434983653030958,0.033845775398158015,75,785,1095,Online
75,111,36,-0.08693261865161273,0.04899262327192839,75,785,1106,Online
81,81,0,0.17350350926180735,0.02770573508187781,1,789,1289,Online
81,87,6,0.3825841288932118,0.030745181145911585,1,785,1243,Online
81,93,12,0.4732012119506538,0.11682704942604846,1,785,1132,Online
81,99,18,0.3882501592157211,0.07636741178841891,1,785,1052,Online
81,105,24,0.36130069347413646,0.08043014710557518,1,785,1039,Online
85,85,0,-0.21617093417908012,0.02462682001972604,4,785,1239,Online
85,91,6,-0.11438979716624101,0.11131132148952158,4,785,1147,Online
85,97,12,0.03723951693599233,0.10977261694455412,4,785,1098,Online
85,103,18,-0.12320787292910308,0.06531815866152198,4,785,1064,Online
85,109,24,-0.11276807699339399,0.04603977112368559,4,785,1042,Online
85,115,30,-0.14151034100027968,0.07874772463887934,4,785,1003,Online
